,School Name,School District,Street Address,Grades Served,Overall Rating
2669,Founders Classical Academy-Austin North,Texas College Preparatory Academies,"9100 E US Hwy 290, Austin, TX 78724",Kindergarten - Grade 8,A
2670,Founders Classical Academy-Bastrop,Texas College Preparatory Academies,"609 Pecan St, Bastrop, TX 78602",Grade 3 - Grade 8,Not Rated
2671,Founders Classical Academy-Tyler,Texas College Preparatory Academies,"3405 E Grande Blvd, Tyler, TX 75707",Kindergarten - Grade 12,B
2672,Four Points MS,Leander ISD,"9700 Mcneil Dr, Austin, TX 78750",Grade 6 - Grade 8,B
2673,Fowler Elem,Wichita Falls ISD,"5100 Ridgecrest Dr, Wichita Falls, TX 76310",Prekindergarten - Grade 5,A
2674,Fowler MS,Frisco ISD,"3801 Mcdermott Rd, Plano, TX 75025",Grade 6 - Grade 8,A
2675,Fox Elem,Klein ISD,"4800 Port Aegean Dr, Klein, TX 77389",Early Education - Grade 5,A
2676,Fox Run Elem,North East ISD,"6111 Fox Creek, San Antonio, TX 78247",Early Education - Grade 5,A
2677,Fox Technical HS,San Antonio ISD,"637 N Main Ave, San Antonio, TX 78205",Grade 9 - Grade 12,B
2678,Frances Corprew Elem,Mount Pleasant ISD,"909 School St, Mount Pleasant, TX 75455",Kindergarten - Grade 4,B
2679,Frances E Norton Elem,Allen ISD,"1120 Newport Dr, Allen, TX 75013",Early Education - Grade 6,A
2680,Frances and Jeannette Lee Elem,Caddo Mills ISD,"2702 Gilmer, Caddo Mills, TX 75135",Early Education - Grade 5,A
2681,Francis Elem,Aldine ISD,"6525 Greens Rd, Humble, TX 77396",Grade 1 - Grade 5,B
2682,Francis R Scobee MS,Southwest ISD,"10675 Marbach Rd, San Antonio, TX 78245",Grade 6 - Grade 8,C
2683,Francisco Barrientes MS,Edinburg CISD,"1100 E Ebony, Edinburg, TX 78540",Grade 6 - Grade 8,B
2684,Francisco Pancho Medrano JH,Dallas ISD,"9815 Brockbank, Dallas, TX 75220",Grade 6 - Grade 8,B
2685,Francone Elem,Cypress-Fairbanks ISD,"11250 Perry Rd, Houston, TX 77064",Early Education - Grade 5,B
2686,Frank D Moates Elem,Desoto ISD,"1500 Heritage Dr, Glenn Heights, TX 75154",Grade 3 - Grade 5,B
2687,Frank Elem,Klein ISD,"9225 Crescent Clover Dr, Klein, TX 77379",Early Education - Grade 5,A
2688,Frank Guzick Elem,Dallas ISD,"5000 Berridge Ln, Dallas, TX 75227",Prekindergarten - Grade 5,B
2689,Frank L Madla Early College HS,New Frontiers Public Schools Inc,"1400 W Villaret Blvd, San Antonio, TX 78224",Grade 9 - Grade 12,A
2690,Frank M Tejeda Academy,Harlandale ISD,"12121 S E Loop 410, San Antonio, TX 78221",Grade 9 - Grade 12,Not Rated
2691,Frank Macias Elem,Clint ISD,"14400 Golden Eagle Dr, El Paso, TX 79928",Early Education - Grade 5,B
2692,Frank Madla Elem,South San Antonio ISD,"6100 Royalgate Dr, San Antonio, TX 78242",Prekindergarten - Grade 5,B
2693,Frank Mcmillan JH,Wylie ISD,"1050 Park Blvd, Wylie, TX 75098",Grade 7 - Grade 8,A
2694,Frank Newman MS,Cotulla ISD,"608 Carrizo St, Cotulla, TX 78014",Grade 6 - Grade 8,A
2695,Frank Seale MS,Midlothian ISD,"700 George Hopper Rd, Midlothian, TX 76065",Grade 6 - Grade 8,C
2696,Frank Stone MS,North Lamar ISD,"3201 Panther Dr Bldg #1, Paris, TX 75460",Grade 6 - Grade 8,C
2697,Frankford MS,Plano ISD,"7706 Osage Plaza Pkwy, Dallas, TX 75252",Grade 6 - Grade 8,B
2698,Franklin D Roosevelt Elem,United ISD,"3301 Sierra Vista Dr, Laredo, TX 78046",Early Education - Grade 5,A
2699,Franklin D Roosevelt HS of Innovation,Dallas ISD,"525 Bonnie View Rd, Dallas, TX 75203",Grade 9 - Grade 12,Not Rated
2700,Franklin Elem,San Antonio ISD,"1915 W Olmos Dr, San Antonio, TX 78201",Prekindergarten - Grade 5,B
2701,Franklin Elem,Northside ISD,"9180 Silver Spot, San Antonio, TX 78254",Early Education - Grade 5,B
2702,Franklin Elem,Houston ISD,"7101 Canal St, Houston, TX 77011",Prekindergarten - Grade 5,A
2703,Franklin Elem,Wichita Falls ISD,"2112 Speedway Ave, Wichita Falls, TX 76308",Kindergarten - Grade 5,C
2704,Franklin HS,El Paso ISD,"900 N Resler Dr, El Paso, TX 79912",Grade 9 - Grade 12,B
2705,Franklin HS,Franklin ISD,"1252 W FM 1644, Franklin, TX 77856",Grade 9 - Grade 12,A
2706,Franklin MS,Franklin ISD,"1098 W Decherd St, Franklin, TX 77856",Grade 5 - Grade 8,A
2707,Frankston Elem,Frankston ISD,"100 Perry St, Frankston, TX 75763",Prekindergarten - Grade 5,A
2708,Frankston HS,Frankston ISD,"100 Perry St, Frankston, TX 75763",Grade 9 - Grade 12,A
2709,Frankston MS,Frankston ISD,"100 Perry St, Frankston, TX 75763",Grade 6 - Grade 8,C
2710,Franz Elem,Katy ISD,"2751 N Westgreen Blvd, Katy, TX 77449",Early Education - Grade 5,B
2711,Frazier Elem,Cypress-Fairbanks ISD,"8300 Little River Rd, Houston, TX 77064",Prekindergarten - Grade 5,B
2712,Frazier Elem,Pasadena ISD,"10503 Hughes Rd, Houston, TX 77089",Early Education - Grade 4,A
2713,Frazier Elem,Burleson ISD,"1125 Summervrest Blvd, Burleson, TX 76028",Early Education - Grade 5,A
2714,Fred Booth,San Benito CISD,"705 Zaragoza St, San Benito, TX 78586",Prekindergarten - Grade 5,B
2715,Fred Douglass,Jacksonville ISD,"1501 E Pine, Jacksonville, TX 75766",Early Education - Grade 4,C
2716,Fred Douglass Early Childhood Center,Sherman ISD,"505 E College St, Sherman, TX 75090",Early Education - Prekindergarten,Not Rated
