,School Name,School District,Street Address,Grades Served,Overall Rating
6815,Rock Prairie Elem,College Station ISD,"3400 Welsh Ave, College Station, TX 77845",Early Education - Grade 4,A
6816,Rockbrook Elem,Lewisville ISD,"2751 Rockbrook Dr, Lewisville, TX 75067",Early Education - Grade 5,B
6817,Rockdale Elem,Rockdale ISD,"625 W Belton Ave, Rockdale, TX 76567",Early Education - Grade 1,B
6818,Rockdale HS,Rockdale ISD,"500 Childress, Rockdale, TX 76567",Grade 9 - Grade 12,B
6819,Rockdale Int,Rockdale ISD,"1338 W US Hwy 79, Rockdale, TX 76567",Grade 2 - Grade 5,B
6820,Rockdale JH,Rockdale ISD,"814 Bushdale Rd, Rockdale, TX 76567",Grade 6 - Grade 8,C
6821,Rockport-Fulton HS,Aransas County ISD,"1801 Omohundro, Rockport, TX 78382",Grade 9 - Grade 12,B
6822,Rockport-Fulton MS,Aransas County ISD,"1701 Colorado Ave, Rockport, TX 78382",Grade 6 - Grade 8,C
6823,Rocksprings K-12,Rocksprings ISD,"201 N Hwy 377, Rocksprings, TX 78880",Prekindergarten - Grade 12,B
6824,Rockwall HS,Rockwall ISD,"901 Yellowjacket Ln, Rockwall, TX 75087",Grade 9 - Grade 12,A
6825,Rockwall Quest Academy,Rockwall ISD,"1050 Williams, Rockwall, TX 75087",Grade 11 - Grade 12,B
6826,Rockwall-Heath HS,Rockwall ISD,"801 Laurence Dr, Heath, TX 75032",Grade 9 - Grade 12,A
6827,Rodeo Palms JH,Alvin ISD,"101 Palm Desert Dr, Manvel, TX 77578",Grade 6 - Grade 8,C
6828,Roderick R Paige Elem,Houston ISD,"7501 Curry Rd, Houston, TX 77093",Early Education - Grade 5,B
6829,Rodger & Ellen Beck JH,Katy ISD,"5200 S Fry Rd, Katy, TX 77450",Grade 6 - Grade 8,A
6830,Rodolfo C Centeno Elem,United ISD,"2710 La Pita Mangana Rd, Laredo, TX 78046",Early Education - Grade 5,A
6831,Rodolfo Rudy Silva Jr Elem,Weslaco ISD,"1001 W Mile 10, Weslaco, TX 78596",Prekindergarten - Grade 5,B
6832,Rodolfo Torres Elem,Victoria ISD,"4208 Lone Tree Rd, Victoria, TX 77901",Early Education - Grade 5,B
6833,Rodriguez Elem,Houston ISD,"5858 Chimney Rock, Houston, TX 77081",Prekindergarten - Grade 5,B
6834,Rodriguez Elem,San Marcos CISD,"1481 Esplanade Pkwy, San Marcos, TX 78666",Kindergarten - Grade 5,B
6835,Rodriguez Elem,Austin ISD,"4400 Franklin Park Dr, Austin, TX 78744",Prekindergarten - Grade 5,B
6836,Rodriguez MS,Denton ISD,"8650 Martop Rd, Oak Point, TX 76227",Grade 6 - Grade 8,C
6837,Rodriguez Montessori Elem,San Antonio ISD,"3623 W Cesar Chavez, San Antonio, TX 78207",Prekindergarten - Grade 2,B
6838,Roel A & Celia R Saenz Elem,Roma ISD,"310 S Gate Rd, Roma, TX 78584",Prekindergarten - Grade 5,A
6839,Rogene Worley MS,Mansfield ISD,"500 Pleasant Ridge Dr, Mansfield, TX 76063",Grade 7 - Grade 8,B
6840,Roger E Sides Elem,Karnes City ISD,"221 N Esplanade St, Karnes City, TX 78118",Grade 2 - Grade 5,C
6841,Rogers Academy,San Antonio ISD,"620 Mcilvaine, San Antonio, TX 78212",Prekindergarten - Grade 8,C
6842,Rogers Elem,Rogers ISD,"802 Rogers Cemetry Rd, Rogers, TX 76569",Prekindergarten - Grade 5,C
6843,Rogers Elem,Frisco ISD,"10500 Rogers Rd, Frisco, TX 75034",Kindergarten - Grade 5,B
6844,Rogers Elem,Amarillo ISD,"920 N Mirror, Amarillo, TX 79107",Early Education - Grade 5,A
6845,Rogers HS,Rogers ISD,"210 Alvin Ailey, Rogers, TX 76569",Grade 9 - Grade 12,B
6846,Rogers MS,Rogers ISD,"114 Eagle Dr, Rogers, TX 76569",Grade 6 - Grade 8,B
6847,Rogers MS,San Antonio ISD,"314 Galway Dr, San Antonio, TX 78223",Grade 6 - Grade 8,C
6848,Rogers MS,Pearland ISD,"3121 Manvel, Pearland, TX 77584",Grade 5 - Grade 6,A
6849,Roland Reynolds Elem,Franklin ISD,"317 N Owensville, Franklin, TX 77856",Early Education - Grade 4,A
6850,Rolling Hills Elem,Lancaster ISD,"450 Rolling Hills Pl, Lancaster, TX 75146",Early Education - Grade 5,B
6851,Rolling Hills Elem,River Road ISD,"2800 W Cherry Ave, Amarillo, TX 79108",Grade 1 - Grade 5,C
6852,Rolling Meadows Elem,Judson ISD,"17222 FM 2252, San Antonio, TX 78233",Prekindergarten - Grade 5,B
6853,Roma HS,Roma ISD,"2021 N US Hwy 83, Roma, TX 78584",Grade 9 - Grade 12,B
6854,Roma MS,Roma ISD,"2047 N US Hwy 83, Roma, TX 78584",Grade 6 - Grade 8,B
6855,Romulo D Martinez Elem,Sharyland ISD,"2571 E 4th St, Mission, TX 78572",Early Education - Grade 6,A
6856,Ronald E McNair Elem,Dallas ISD,"3150 Bainbridge Dr, Dallas, TX 75237",Early Education - Grade 5,C
6857,Ronald E McNair MS,Southwest ISD,"11553 Old Pearsall Rd, Atascosa, TX 78002",Grade 6 - Grade 8,B
6858,Ronald Reagan Elem,Leander ISD,"1700 E Park St, Cedar Park, TX 78613",Kindergarten - Grade 5,B
6859,Ronald Thornton MS,Fort Bend ISD,"1909 Waters Lake Blvd, Missouri City, TX 77459",Grade 6 - Grade 8,B
6860,Ronald W Reagan MS,Grand Prairie ISD,"4616 E Bardin Rd, Grand Prairie, TX 75052",Grade 6 - Grade 8,B
6861,Roosevelt Alexander Elem,Katy ISD,"6161 S Fry Rd, Katy, TX 77494",Early Education - Grade 5,A
6862,Roosevelt Alternative School,Mission CISD,"407 E 3rd St, Mission, TX 78572",Grade 7 - Grade 12,Not Rated
6863,Roosevelt Elem,Edgewood ISD,"3823 Fortuna Ct, San Antonio, TX 78237",Kindergarten - Grade 5,C
6864,Roosevelt Elem,Houston ISD,"6700 Fulton St, Houston, TX 77022",Prekindergarten - Grade 5,A
6865,Roosevelt Elem,McAllen ISD,"4801 S 26th St, McAllen, TX 78503",Prekindergarten - Grade 5,A
6866,Roosevelt Elem,Roosevelt ISD,"1406 County Rd 3300, Lubbock, TX 79403",Prekindergarten - Grade 5,Not Rated
6867,Roosevelt HS,North East ISD,"5110 Walzem Rd, San Antonio, TX 78218",Grade 9 - Grade 12,C
6868,Roosevelt HS,Roosevelt ISD,"1406 County Rd 3300, Lubbock, TX 79403",Grade 9 - Grade 12,A
6869,Roosevelt JH,Roosevelt ISD,"1406 County Rd 3300, Lubbock, TX 79403",Grade 6 - Grade 8,C
6870,Roosevelt-Wilson Elem,Texas City ISD,"301 16th Ave N, Texas City, TX 77591",Kindergarten - Grade 4,C
6871,Rooster Springs Elem,Dripping Springs ISD,"1001 Belterra Dr, Austin, TX 78737",Prekindergarten - Grade 5,A
6872,Ropes School,Ropes ISD,"304 Ranch, Ropesville, TX 79358",Prekindergarten - Grade 12,A
6873,Roque Guerra Jr Elem,Rio Grande City Grulla ISD,"1600 W Main St, Rio Grande City, TX 78582",Prekindergarten - Grade 5,B
6874,Rosa Parks Elem,Fort Bend ISD,"19101 Chimney Rock Rd, Fresno, TX 77545",Prekindergarten - Grade 5,B
6875,Rosa Parks/Millbrook Elem,Lancaster ISD,"630 Millbrook Dr, Lancaster, TX 75146",Early Education - Grade 5,B
6876,Roscoe Collegiate HS,Roscoe Collegiate ISD,"700 Elm, Roscoe, TX 79545",Grade 7 - Grade 12,B
6877,Roscoe Collegiate Montessori Early Childhood,Roscoe Collegiate ISD,"1006 Main, Roscoe, TX 79545",Prekindergarten - Kindergarten,C
6878,Roscoe Elem,Roscoe Collegiate ISD,"800 Elm, Roscoe, TX 79545",Grade 1 - Grade 6,C
6879,Rose Garden Elem,Schertz-Cibolo-U City ISD,"10414 E FM 1518, Schertz, TX 78154",Early Education - Grade 4,Not Rated
6880,Rosebud-Lott Elem,Rosebud-Lott ISD,"513 S 5th St, Lott, TX 76656",Early Education - Grade 6,C
6881,Rosebud-Lott HS,Rosebud-Lott ISD,"1789 US Hwy 77, Lott, TX 76656",Grade 9 - Grade 12,B
6882,Rosebud-Lott MS,Rosebud-Lott ISD,"1789 US Hwy 77, Lott, TX 76656",Grade 7 - Grade 8,C
6883,Rosedale,Austin ISD,"7505 Silvercrest Dr, Austin, TX 78757",Early Education - Grade 12,Not Rated
6884,Rosehill Elem,Tomball ISD,"17950 Waller Tomball Rd, Tomball, TX 77377",Early Education - Grade 4,B
6885,Rosemeade Elem,Carrollton-Farmers Branch ISD,"3550 Kimberly, Carrollton, TX 75007",Early Education - Grade 5,A
6886,Rosemont Lower - Chris V Semos Building,Dallas ISD,"1919 Stevens Forest Dr, Dallas, TX 75208",Early Education - Grade 5,B
6887,Rosemont MS,Fort Worth ISD,"1501 W Seminary Dr, Fort Worth, TX 76115",Grade 6 - Grade 8,C
6888,Rosemont Upper,Dallas ISD,"719 N Montclair Ave, Dallas, TX 75208",Grade 6 - Grade 8,A
6889,Rosenberg Elem Laboratory for Learning and Leading,Galveston ISD,"721 10th St, Galveston, TX 77550",Early Education - Grade 4,B
6890,Rosendo Benavides Elem,La Joya ISD,"1882 El Pinto Rd, Sullivan City, TX 78595",Prekindergarten - Grade 5,B
6891,Rosie Sorrells Education and Social Services HS,Dallas ISD,"1201 E Eighth St, Dallas, TX 75203",Grade 9 - Grade 12,B
6892,Rosita Valley Elem,Eagle Pass ISD,"735 Rosita Vly Rd, Eagle Pass, TX 78852",Grade 1 - Grade 6,B
6893,Rosita Valley Literacy Academy,Eagle Pass ISD,"811 Rosita Vly Rd, Eagle Pass, TX 78853",Early Education - Grade 1,B
6894,Ross Elem,Ector County ISD,"4600 N Everglade Ave, Odessa, TX 79762",Prekindergarten - Grade 5,C
6895,Ross Elem,Houston ISD,"2819 Bay St, Houston, TX 77026",Early Education - Grade 5,C
6896,Ross MS,Northside ISD,"3630 Callaghan Rd, San Antonio, TX 78228",Grade 6 - Grade 8,C
6897,Ross MS,El Paso ISD,"6101 Hughey, El Paso, TX 79925",Grade 6 - Grade 8,B
6898,Ross Sterling MS,Humble ISD,"1131 Wilson Rd, Humble, TX 77338",Grade 6 - Grade 8,C
6899,Rotan K-12,Rotan ISD,"102 N Mckinley Ave, Rotan, TX 79546",Prekindergarten - Grade 12,A
6900,Roth Elem,Klein ISD,"21623 Castlemont, Spring, TX 77388",Early Education - Grade 5,B
6901,Rough Hollow Elem,Lake Travis ISD,"4219 Bee Creek Rd, Spicewood, TX 78669",Kindergarten - Grade 5,B
6902,Roughrider Academy,Center ISD,"658 Roughrider Dr, Center, TX 75935",Grade 9 - Grade 12,A
6903,Round Rock HS,Round Rock ISD,"201 Deepwood Dr, Round Rock, TX 78681",Grade 9 - Grade 12,A
6904,Round Rock Opport Ctr DAEP,Round Rock ISD,"931 Luther Peterson Pl, Round Rock, TX 78664",Grade 6 - Grade 12,Not Rated
6905,Round Top-Carmine Elem,Round Top-Carmine ISD,"608 N Washington, Round Top, TX 78954",Prekindergarten - Grade 6,A
6906,Round Top-Carmine HS,Round Top-Carmine ISD,"378 Centennial St, Carmine, TX 78932",Grade 7 - Grade 12,A
6907,Rouse HS,Leander ISD,"1222 Raider Way, Leander, TX 78641",Grade 9 - Grade 12,A
6908,Rowe HS,McAllen ISD,"2101 N Ware Rd, Mc Allen, TX 78501",Grade 9 - Grade 12,B
6909,Rowe Lane Elem,Pflugerville ISD,"3112 Speidel Dr, Pflugerville, TX 78660",Early Education - Grade 5,A
6910,Rowe MS,Cypress-Fairbanks ISD,"7611 Westgreen Blvd, Cypress, TX 77433",Grade 6 - Grade 8,B
6911,Rowena Johnson Pri,Sulphur Springs ISD,"825 Church St, Sulphur Springs, TX 75482",Kindergarten - Grade 3,Not Rated
6912,Rowland Elem,Victoria ISD,"2706 Leary Ln, Victoria, TX 77901",Early Education - Grade 5,C
6913,Rowlett Elem,Garland ISD,"3315 Carla Dr, Rowlett, TX 75088",Kindergarten - Grade 5,Not Rated
6914,Rowlett HS,Garland ISD,"4700 Kirby Rd, Rowlett, TX 75088",Grade 9 - Grade 12,B
6915,Roy Benavidez Elem,South San Antonio ISD,"8340 So Ih 35, San Antonio, TX 78224",Prekindergarten - Grade 5,B
6916,Roy Cisneros Elem,Edgewood ISD,"3011 Ruiz, San Antonio, TX 78237",Kindergarten - Grade 5,C
6917,Roy J Smith MS,Killeen ISD,"6000 Brushy Creek Dr, Killeen, TX 76549",Grade 6 - Grade 8,C
6918,Roy J Wollam Elem,Santa Fe ISD,"3400 Ave S, Santa Fe, TX 77510",Early Education - Grade 5,A
6919,Roy Johnson STEM Academy,Everman ISD,"8901 Oak Grove Rd, Fort Worth, TX 76140",Grade 6 - Grade 8,B
6920,Roy Lee Walker Elem,McKinney ISD,"4000 Cockrill Dr, McKinney, TX 75070",Kindergarten - Grade 5,A
6921,Roy Miller HS and Metro School of Design,Corpus Christi ISD,"1 Battlin Buc Blvd, Corpus Christi, TX 78408",Grade 7 - Grade 12,B
6922,Royal Academy of Excellence,Royal Public Schools,"4018 S Presa St, San Antonio, TX 78223",Kindergarten - Grade 2,Not Rated
6923,Royal Early Childhood Center,Royal ISD,"2300 Durkin Rd, Brookshire, TX 77423",Early Education - Grade 1,B
6924,Royal Elem,Royal ISD,"2222 Durkin Rd, Brookshire, TX 77423",Grade 2 - Grade 5,B
6925,Royal HS,Royal ISD,"34499 Royal Rd, Brookshire, TX 77423",Grade 9 - Grade 12,C
6926,Royal JH,Royal ISD,"2500 Durkin Rd, Brookshire, TX 77423",Grade 6 - Grade 8,C
6927,Royal Ridge Elem,North East ISD,"5933 Royal Ridge, San Antonio, TX 78239",Prekindergarten - Grade 5,B
6928,Royalwood Elem,Sheldon ISD,"7715 Royalwood Dr, Houston, TX 77049",Grade 1 - Grade 5,B
6929,Royse City HS,Royse City ISD,"700 FM 2642, Royse City, TX 75189",Grade 9 - Grade 12,B
6930,Ruben C Rodriguez Elem,Edcouch-Elsa ISD,"1302 W Santa Rosa, Edcouch, TX 78538",Kindergarten - Grade 5,B
6931,Ruben Chavira Elem,San Felipe-Del Rio CISD,"2253 S US Hwy 277, Del Rio, TX 78840",Kindergarten - Grade 5,B
6932,Ruben Hinojosa Elem,Mercedes ISD,"500 S Rio Rico Rd, Mercedes, TX 78570",Prekindergarten - Grade 5,B
6933,Ruben Hinojosa Elem,Sharyland ISD,"4205 Los Indios Pkwy, Mission, TX 78572",Prekindergarten - Grade 6,A
6934,Ruby Young Personalized STEAM Academy,Desoto ISD,"707 Young Blvd, Desoto, TX 75115",Grade 3 - Grade 8,B
6935,Rucker Elem,Houston ISD,"5201 Vinett St, Houston, TX 77017",Early Education - Grade 5,B
6936,Rudder MS,Northside ISD,"6558 Horn Blvd, San Antonio, TX 78240",Grade 6 - Grade 8,C
6937,Rufino Mendoza Sr Elem,Fort Worth ISD,"1412 Denver Ave, Fort Worth, TX 76164",Prekindergarten - Grade 5,Not Rated
6938,Rufus C Burleson Elem,Dallas ISD,"6300 Elam Rd, Dallas, TX 75217",Prekindergarten - Grade 5,B
6939,Rugel Elem,Mesquite ISD,"2701 Sybil Dr, Mesquite, TX 75149",Kindergarten - Grade 5,B
6940,Ruiz Elem,United ISD,"1717 Ave Los Presidentes, Laredo, TX 78043",Early Education - Grade 5,A
6941,Rule School,Rule ISD,"1100 Union Ave, Rule, TX 79547",Prekindergarten - Grade 12,B
6942,Rummel Creek Elem,Spring Branch ISD,"625 Brittmoore, Houston, TX 77079",Prekindergarten - Grade 5,A
6943,Runge Elem,Runge ISD,"600 Reiffert, Runge, TX 78151",Early Education - Grade 6,Not Rated
6944,Runge HS,Runge ISD,"600 Reiffert, Runge, TX 78151",Grade 7 - Grade 12,C
6945,Runn Virtual Learning Academy,Donna ISD,"1701 E Hwy 281, Donna, TX 78537",Kindergarten - Grade 6,A
6946,Running Brushy MS,Leander ISD,"2303 N Lakeline Blvd, Cedar Park, TX 78613",Grade 6 - Grade 8,B
6947,Runyan Elem,Conroe ISD,"1101 Foster Dr, Conroe, TX 77301",Prekindergarten - Grade 4,C
6948,Rush Elem,Lubbock ISD,"4702 15th St, Lubbock, TX 79416",Prekindergarten - Grade 5,A
6949,Rusk Elem,Rusk ISD,"300 N Henderson St, Rusk, TX 75785",Grade 2 - Grade 3,B
6950,Rusk Elem,El Paso ISD,"3601 Copia St, El Paso, TX 79930",Prekindergarten - Grade 5,A
6951,Rusk Elem,Midland ISD,"2601 Wedgewood St, Midland, TX 79707",Prekindergarten - Grade 6,C
6952,Rusk HS,Rusk ISD,"495 Eagle Dr, Rusk, TX 75785",Grade 9 - Grade 12,C
6953,Rusk Int,Rusk ISD,"1143 Loop 343 W, Rusk, TX 75785",Grade 4 - Grade 5,C
6954,Rusk JH,Rusk ISD,"1345 S Main St, Rusk, TX 75785",Grade 6 - Grade 8,B
6955,Russell Elem,Brownsville ISD,"800 Lakeside Blvd, Brownsville, TX 78520",Prekindergarten - Grade 5,A
6956,Russell P Schupmann Elem,Red Oak ISD,"401 E Ovilla Rd, Glenn Heights, TX 75154",Prekindergarten - Grade 5,B
6957,Rustic Oak Elem,Pearland ISD,"1302 Rustic Ln, Pearland, TX 77581",Early Education - Grade 4,A
6958,Ruth Barron Elem,Pflugerville ISD,"14850 Harris Ridge, Pflugerville, TX 78660",Early Education - Grade 5,B
6959,Ruth Cherry Elem,Royse City ISD,"1400 FM 1777, Royse City, TX 75189",Prekindergarten - Grade 5,A
6960,Ruth Jones Mcclendon MS,George Gervin Academy,"3460 NE Pkwy, San Antonio, TX 78218",Prekindergarten - Grade 12,B
6961,Rutherford Elem,Mesquite ISD,"1607 Sierra Dr, Mesquite, TX 75149",Early Education - Grade 5,B
6962,Rutledge Elem,Leander ISD,"11501 Staked Plains Dr, Austin, TX 78717",Kindergarten - Grade 5,B
6963,Ryan Elem,Denton ISD,"201 W Ryan Rd, Denton, TX 76210",Prekindergarten - Grade 5,B
6964,Ryan Elem,Laredo ISD,"2401 Clark Blvd, Laredo, TX 78043",Prekindergarten - Grade 5,A
6965,Ryan HS,Denton ISD,"5101 E McKinney, Denton, TX 76208",Grade 9 - Grade 12,B
6966,S C Lee JH,Copperas Cove ISD,"1205 Courtney Ln, Copperas Cove, TX 76522",Grade 6 - Grade 8,B
6967,S F Austin Elem,Brazosport ISD,"7351 Stephen F Austin Rd, Jones Creek, TX 77541",Prekindergarten - Grade 6,B
6968,S Garland HS,Garland ISD,"600 Colonel Dr, Garland, TX 75043",Grade 9 - Grade 12,C
6969,S Gus Alexander Jr Elem,Duncanville ISD,"510 Softwood Dr, Duncanville, TX 75137",Prekindergarten - Grade 4,Not Rated
6970,S H Crowley Elem,Crowley ISD,"10525 Mccart Ave, Fort Worth, TX 76123",Prekindergarten - Grade 5,B
6971,S S Conner Elem,Dallas ISD,"3037 Greenmeadow Dr, Dallas, TX 75228",Early Education - Grade 5,Not Rated
6972,S S Dillow Elem,Fort Worth ISD,"4000 Ave N, Fort Worth, TX 76105",Prekindergarten - Grade 5,C
6973,S T E P - C O R E,Georgetown ISD,"200 Wilco Way, Georgetown, TX 78626",Grade 9 - Grade 11,Not Rated
6974,S T E P - C O R E,Jarrell ISD,"200 Wilco Way, Georgetown, TX 78626",Grade 12,Not Rated
6975,S T E P - C O R E,Round Rock ISD,"200 Wilco Way, Georgetown, TX 78626",Grade 9 - Grade 11,Not Rated
6976,S T E P - Detention,Georgetown ISD,"200 Wilco Way, Georgetown, TX 78626",Grade 8 - Grade 10,Not Rated
6977,S T E P - Detention,Round Rock ISD,"200 Wilco Way, Georgetown, TX 78626",Grade 9 - Grade 11,Not Rated
6978,S T E P - JJAEP,Georgetown ISD,"200 Wilco Way, Georgetown, TX 78626",Grade 9,Not Rated
6979,S T E P - JJAEP,Round Rock ISD,"200 Wilco Way, Georgetown, TX 78626",Grade 9,Not Rated
6980,S and S Cons Elem,S and S CISD,"4217 Elementary Dr, Southmayd, TX 76268",Prekindergarten - Grade 4,C
6981,S and S Cons HS,S and S CISD,"404 S Main, Sadler, TX 76264",Grade 9 - Grade 12,B
6982,S and S Cons MS,S and S CISD,"462 S Main, Sadler, TX 76264",Grade 5 - Grade 8,B
6983,S/Sgt Michael P Barrera Veterans Elem,Somerset ISD,"4135 Smith Rd, Von Ormy, TX 78073",Early Education - Grade 4,A
6984,SAisd - PK 4 SA,San Antonio ISD,"514 Quincy St, San Antonio, TX 78212",Prekindergarten,B
6985,SJRC Texas,University of Texas University Charter School,"1400 Ridge Creek Ln, Bulverde, TX 78163",Grade 8 - Grade 12,Not Rated
6986,SSG Manuel R Puentes,Socorro ISD,"3216 Tim Foster, El Paso, TX 79938",Grade 6 - Grade 8,C
6987,STEAM MS,Burleson ISD,"900 S W Hillside Dr, Burleson, TX 76028",Grade 6 - Grade 8,A
6988,STEAM at the Fine Arts Academy,Edgewood ISD,"607 SW 34th St, San Antonio, TX 78237",Grade 9 - Grade 12,C
6989,STEM Academy at Bridlewood Elem,Lewisville ISD,"4901 Remington Park Dr, Flower Mound, TX 75028",Kindergarten - Grade 5,B
6990,STEM Academy at Clayton Downing MS,Lewisville ISD,"5555 Bridlewood Blvd, Flower Mound, TX 75028",Grade 6 - Grade 8,A
6991,STEM Academy at Creek Valley MS,Lewisville ISD,"4109 Creek Valley Blvd, Carrollton, TX 75010",Grade 6 - Grade 8,B
6992,STEM Academy at Donald Elem,Lewisville ISD,"2400 Forest Vista Dr, Flower Mound, TX 75028",Early Education - Grade 5,A
6993,STEM Academy at Enis Elem,Decatur ISD,"1200 Eagle Dr, Decatur, TX 76234",Kindergarten - Grade 3,C
6994,STEM Academy at Forestwood MS,Lewisville ISD,"2810 Morriss Rd, Flower Mound, TX 75028",Grade 6 - Grade 8,A
6995,STEM Academy at Hedrick MS,Lewisville ISD,"1526 Bellaire Blvd, Lewisville, TX 75067",Grade 6 - Grade 8,C
6996,STEM Academy at Memorial Elem,Lewisville ISD,"1001 Josey Ln, Carrollton, TX 75010",Early Education - Grade 5,A
6997,STEM Academy at Polser Elem,Lewisville ISD,"1520 Polser Rd, Carrollton, TX 75010",Early Education - Grade 5,A
6998,STEM Academy at Valley Ridge Elem,Lewisville ISD,"1604 N Garden Ridge Blvd, Lewisville, TX 75077",Early Education - Grade 5,A
6999,STEM MS,Victoria ISD,"1110 Sam Houston Dr, Victoria, TX 77901",Grade 6,Not Rated
7000,Sabinal Elem,Sabinal ISD,"900 N Pickford, Sabinal, TX 78881",Prekindergarten - Grade 5,A
7001,Sabinal Secondary,Sabinal ISD,"409 W Cullins, Sabinal, TX 78881",Grade 9 - Grade 12,B
7002,Sabinal Secondary,Sabinal ISD,"409 W Cullins, Sabinal, TX 78881",Grade 6 - Grade 8,C
7003,Sabine Elem,Sabine ISD,"645 Access Rd (CR 3634), Kilgore, TX 75662",Early Education - Grade 5,A
7004,Sabine HS,Sabine ISD,"5424 FM 1252 W, Gladewater, TX 75647",Grade 9 - Grade 12,A
7005,Sabine MS,Sabine ISD,"5424 FM 1252 W, Gladewater, TX 75647",Grade 6 - Grade 8,B
7006,Sabine Pass School,Sabine Pass ISD,"5641 S Gulfway Dr, Sabine Pass, TX 77655",Early Education - Grade 12,B
7007,Sachse HS,Garland ISD,"3901 Miles Rd, Sachse, TX 75048",Grade 9 - Grade 12,B
7008,Sadler Means YWLA,Austin ISD,"6401 N Hampton Dr, Austin, TX 78723",Grade 6 - Grade 8,C
7009,Saegert Elem,Killeen ISD,"5600 Schorn Dr, Killeen, TX 76542",Early Education - Grade 5,B
7010,Saenz Elem,Alice ISD,"800 S Johnson St, Alice, TX 78332",Early Education - Grade 5,B
7011,Safe Haven,University of Texas University Charter School,"28158 Sh 6, Hempstead, TX 77445",Grade 7 - Grade 10,Not Rated
7012,Sagamore Hill Elem,Fort Worth ISD,"701 S Hughes Ave, Fort Worth, TX 76103",Early Education - Grade 5,B
7013,Sageland Elem,Ysleta ISD,"7901 Santa Monica Ct, El Paso, TX 79915",Early Education - Grade 6,A
7014,Saginaw Elem,Eagle Mt-Saginaw ISD,"301 W McLeroy Blvd, Saginaw, TX 76179",Kindergarten - Grade 5,C
7015,Saginaw HS,Eagle Mt-Saginaw ISD,"800 N Blue Mound Rd, Saginaw, TX 76131",Grade 9 - Grade 12,B
7016,Saigling Elem,Plano ISD,"3600 Matterhorn Dr, Plano, TX 75075",Kindergarten - Grade 5,A
7017,Saint Jo Elem,Saint Jo ISD,"206 W Evans St, Saint Jo, TX 76265",Prekindergarten - Grade 6,A
7018,Saint Jo HS,Saint Jo ISD,"206 W Evans St, Saint Jo, TX 76265",Grade 7 - Grade 12,B
7019,Salado Elem,East Central ISD,"3602 WW White Rd, San Antonio, TX 78222",Prekindergarten - Grade 5,C
7020,Salado HS,Salado ISD,"1880 Williams Rd, Salado, TX 76571",Grade 9 - Grade 12,A
7021,Salado MS,Salado ISD,"1169 Williams Rd, Salado, TX 76571",Grade 6 - Grade 8,C
7022,Salazar Crossroads Academy,Robstown ISD,"609 Hwy 44, Robstown, TX 78380",Grade 9 - Grade 12,C
7023,Salazar District Alternative Education Program,Carrollton-Farmers Branch ISD,"2416 Keller Springs Rd, Carrollton, TX 75006",Grade 6 - Grade 12,Not Rated
7024,Salinas Elem,Mission CISD,"10820 N Conway Ave, Mission, TX 78573",Prekindergarten - Grade 5,A
7025,Salinas Elem,United ISD,"3611 Alfredo Cantu Dr, Laredo, TX 78046",Early Education - Grade 5,B
7026,Sallye R Moore College & Career Preparatory,Grand Prairie ISD,"3150 Waterwood Dr, Grand Prairie, TX 75052",Prekindergarten - Grade 8,B
7027,Saltillo School,Saltillo ISD,"150 County Rd 3534, Saltillo, TX 75478",Prekindergarten - Grade 12,A
7028,Salvador Garcia MS,United ISD,"499 Pena Dr, Rio Bravo, TX 78045",Grade 6 - Grade 8,B
7029,Salvador Sanchez MS,Socorro ISD,"321 N Rio Vista Rd, El Paso, TX 79927",Grade 6 - Grade 8,B
7030,Salyards MS,Cypress-Fairbanks ISD,"21757 Fairfield Place, Cypress, TX 77433",Grade 6 - Grade 8,A
7031,Salyers Elem,Spring ISD,"25705 Hardy St, Spring, TX 77373",Early Education - Grade 5,B
7032,Sam Fordyce Elem,La Joya ISD,"801 FM 886, Sullivan City, TX 78595",Prekindergarten - Grade 5,B
7033,Sam Houston Collegiate Preparatory Elem,Midland ISD,"2000 W Louisiana Ave, Midland, TX 79701",Prekindergarten - Grade 6,B
7034,Sam Houston Elem,Bryan ISD,"4501 Canterbury, Bryan, TX 77802",Prekindergarten - Grade 4,B
7035,Sam Houston Elem,La Feria ISD,"500 N Beddoes, La Feria, TX 78559",Prekindergarten - Grade 4,B
7036,Sam Houston Elem,Ector County ISD,"300 E 37th St, Odessa, TX 79762",Prekindergarten - Grade 5,C
7037,Sam Houston Elem,Galena Park ISD,"4101 E Sam Houston Pkwy N, Houston, TX 77015",Prekindergarten - Grade 5,A
7038,Sam Houston Elem,Marshall ISD,"2905 E Travis, Marshall, TX 75672",Kindergarten - Grade 5,A
7039,Sam Houston Elem,Weslaco ISD,"608 N Cantu, Weslaco, TX 78596",Prekindergarten - Grade 5,B
7040,Sam Houston Elem,Eagle Pass ISD,"2781 Fm1021, Eagle Pass, TX 78853",Grade 2 - Grade 6,B
7041,Sam Houston Elem,Corsicana ISD,"1213 W 4th Ave, Corsicana, TX 75110",Prekindergarten - Grade 4,A
7042,Sam Houston HS,Arlington ISD,"2000 Sam Houston Dr, Arlington, TX 76014",Grade 9 - Grade 12,Not Rated
7043,Sam Houston MS,Garland ISD,"2232 Sussex Dr, Garland, TX 75041",Grade 6 - Grade 8,C
7044,Sam Houston State University Charter School,Sam Houston State University Charter School,"22801 Aldine Westfield Rd, Spring, TX 77373",Kindergarten - Grade 6,B
